id,name,now_cost,position,team,total_points,dreamteam_count,transfers_in_event,clean_sheets,goals_conceded_per_90,saves_per_90,influence_rank_type,points_per_game,selected_rank,corners_and_indirect_freekicks_order,event_points,mng_draw,penalties_order,web_name,team_join_date,influence_rank,bonus,mng_underdog_win,news,ict_index,expected_goals_per_90,value_form,expected_assists,transfers_out_event,expected_goals,creativity_rank_type,expected_assists_per_90,points_per_game_rank_type,form_rank_type,status,cost_change_start_fall,threat_rank,yellow_cards,bps,can_select,expected_goal_involvements_per_90,minutes,starts_per_90,penalties_saved,opta_code,saves,form,cost_change_start,threat,points_per_game_rank,cost_change_event_fall,direct_freekicks_order,penalties_missed,transfers_out,region,mng_underdog_draw,cost_change_event,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,ict_index_rank,expected_goals_conceded_per_90,mng_win,ep_this,value_season,mng_loss,clean_sheets_per_90,ep_next,news_added,goals_scored,starts,mng_clean_sheets,form_rank,assists,mng_goals_scored,expected_goals_conceded,now_cost_rank,now_cost_rank_type,red_cards,in_dreamteam,transfers_in,goals_conceded,own_goals,selected_rank_type,influence,expected_goal_involvements,threat_rank_type,creativity,creativity_rank,ict_index_rank_type
716,Antonín Kinsky,45,GKP,Spurs,12,0,1785,1,1.75,2.75,31,3.0,317,,7,0,,Kinsky,2025-01-05,332,0,0,,11.2,0.0,0.7,0.01,952,0.00,9,0.0,19,10,a,0,652,0,52,True,0.0,360,1.0,0,p485055,11,3.0,0,0.0,126,0,,0,12407,57.0,0,0,0.3,,,381,1.76,0,3.0,2.7,0,0.25,3.0,,0,4,0,113,0,0,7.02,410,17,0,False,41848,7,0,48,102.6,0.01,66,10.1,413,31
717,Min-Hyeok Yang,45,MID,Spurs,0,0,19,0,0.0,0.0,306,0.0,741,,0,0,,Yang,2025-01-01,727,0,0,Loaned to Queens Park Rangers,0.0,0.0,0.0,0.00,59,0.00,307,0.0,307,267,u,0,708,0,0,False,0.0,0,0.0,0,p623095,0,0.0,0,0.0,728,0,,0,245,114.0,0,0,0.0,0.0,,727,0.0,0,0.0,0.0,0,0.0,0.0,2025-02-03T10:24:52.232670Z,0,0,0,663,0,0,0.00,482,303,0,False,468,0,0,315,0.0,0.00,301,0.0,721,306
729,Damola Ajayi,45,MID,Spurs,0,0,85,0,0.0,0.0,299,0.0,728,,0,0,,Ajayi,2024-10-02,713,0,0,,0.0,0.0,0.0,0.00,38,0.00,299,0.0,300,259,a,0,692,0,0,True,0.0,0,0.0,0,p574799,0,0.0,0,0.0,715,0,,0,112,241.0,0,0,0.0,,,712,0.0,0,0.0,0.0,0,0.0,0.0,,0,0,0,649,0,0,0.00,463,293,0,False,422,0,0,306,0.0,0.00,293,0.0,706,298
749,Ange Postecoglou,11,MNG,Spurs,11,0,278,0,0.0,0.0,13,0.0,543,,10,0,,Postecoglou,2023-07-01,525,0,0,,0.0,0.0,5.0,0.00,220,0.00,13,0.0,13,9,a,0,457,0,0,True,0.0,0,0.0,0,man41881,0,5.5,0,0.0,531,0,,0,559,13.0,0,0,0.4,,,526,0.0,1,5.5,10.0,1,0.0,5.5,,0,0,1,26,0,3,0.00,758,8,0,False,465,0,0,13,0.0,0.00,13,0.0,501,13
760,Dante Cassanova,40,DEF,Spurs,0,0,44,0,0.0,0.0,205,0.0,761,,0,0,,Cassanova,2024-10-02,582,0,0,,0.0,0.0,0.0,0.00,2,0.00,202,0.0,204,166,a,0,528,0,0,True,0.0,0,0.0,0,p501620,0,0.0,0,0.0,588,0,,0,2,107.0,0,0,0.0,,,583,0.0,0,1.3,0.0,0,0.0,1.3,,0,0,0,476,0,0,0.00,667,196,0,False,44,0,0,255,0.0,0.00,192,0.0,564,205
767,Kevin Danso,45,DEF,Spurs,0,0,269,0,0.0,0.0,244,0.0,744,,0,0,,Danso,2025-02-02,649,0,0,,0.0,0.0,0.0,0.00,8,0.00,244,0.0,243,231,a,0,625,0,0,True,0.0,0,0.0,0,p135720,0,0.0,0,0.0,653,0,,0,8,14.0,0,0,0.0,,,649,0.0,0,2.1,0.0,0,0.0,2.1,,0,0,0,582,0,0,0.00,368,56,0,False,269,0,0,251,0.0,0.00,241,0.0,643,244
768,Mathys Tel,60,MID,Spurs,0,0,3104,0,0.0,0.0,331,0.0,597,,0,0,,Tel,2025-02-03,765,0,0,,0.0,0.0,0.0,0.00,54,0.00,331,0.0,331,323,a,0,764,0,0,True,0.0,0,0.0,0,p511499,0,0.0,0,0.0,765,0,,0,54,73.0,0,0,0.0,,,765,0.0,0,2.2,0.0,0,0.0,2.2,,0,0,0,751,0,0,0.00,79,52,0,False,3104,0,0,233,0.0,0.00,330,0.0,765,331
123,Evan Ferguson,55,FWD,West Ham,20,0,3704,1,2.69,0.0,39,1.5,336,,1,0,,Ferguson,2025-02-03,376,2,0,,15.0,0.22,0.0,0.40,376,0.57,39,0.15,39,43,a,0,264,0,69,True,0.37,234,0.77,0,p487117,0,0.2,0,59.0,352,0,5.0,0,66590,104.0,0,0,0.2,100.0,75.0,366,1.95,0,-0.2,3.6,0,0.38,0.2,2024-12-31T16:00:06.783068Z,1,2,0,402,0,0,5.06,121,35,0,False,69381,7,0,55,58.6,0.97,40,36.0,332,39
388,Aaron Wan-Bissaka,45,DEF,West Ham,63,2,3281,3,2.0,0.0,16,2.7,83,,-1,0,,Wan-Bissaka,2024-08-13,50,6,0,,93.2,0.04,0.3,1.58,10591,0.97,13,0.07,44,72,a,0,190,1,251,True,0.11,1984,1.0,0,p214590,0,1.2,0,115.0,155,0,,0,598784,241.0,0,0,4.3,,,86,1.76,0,0.7,14.0,0,0.14,1.2,,2,22,0,245,2,0,38.82,378,62,0,False,825034,44,1,29,479.8,2.55,43,336.8,68,14
511,Edson Álvarez Velázquez,50,MID,West Ham,25,0,172,1,1.91,0.0,99,1.3,439,,0,0,,Álvarez,2023-08-10,229,0,0,Knock - 75% chance of playing,41.1,0.02,0.4,0.70,266,0.31,113,0.05,182,92,d,0,290,6,161,True,0.07,1228,1.03,0,p213999,0,1.8,0,41.0,383,0,,0,18345,139.0,0,0,0.1,75.0,100.0,240,1.57,0,1.3,5.0,0,0.07,1.4,2025-02-05T18:30:09.115982Z,0,14,0,212,1,0,21.37,205,127,1,False,14322,26,0,152,206.2,1.01,159,164.1,171,122
