id,name,now_cost,position,team,total_points,assists,penalties_saved,goals_scored,cost_change_start_fall,expected_goal_involvements,goals_conceded,creativity_rank,in_dreamteam,chance_of_playing_next_round,influence_rank,threat,news,region,selected_rank,expected_assists,clean_sheets_per_90,value_form,clean_sheets,ep_next,transfers_out_event,chance_of_playing_this_round,ict_index_rank_type,cost_change_start,points_per_game_rank_type,goals_conceded_per_90,ict_index_rank,expected_goals_conceded,saves,creativity,ep_this,ict_index,expected_goal_involvements_per_90,expected_assists_per_90,points_per_game,expected_goals_per_90,penalties_missed,selected_by_percent,transfers_in,minutes,status,transfers_in_event,expected_goals,threat_rank,now_cost_rank,yellow_cards,cost_change_event_fall,red_cards,penalties_order,bps,web_name,form_rank,transfers_out,can_select,creativity_rank_type,news_added,dreamteam_count,selected_rank_type,points_per_game_rank,influence_rank_type,starts_per_90,saves_per_90,cost_change_event,corners_and_indirect_freekicks_order,form_rank_type,influence,bonus,expected_goals_conceded_per_90,now_cost_rank_type,threat_rank_type,event_points,form,value_season,own_goals,direct_freekicks_order,starts
1,Fábio Ferreira Vieira,5.4,MID,Arsenal,0,0,0,0,1,0.0,0,682,False,0.0,683,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,,636,0.0,0.0,0.0,0,0.0,9,0.0,310,-1,310,0.0,683,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,439,0,u,0,0.0,680,138,0,0,0,,0,Fábio Vieira,674,2758,False,310,2024-08-29T11:06:25.241953Z,0,278,682,310,0.0,0.0,0,,304,0.0,0,0.0,83,308,0,0.0,0.0,0,,0
2,Gabriel Fernando de Jesus,6.8,FWD,Arsenal,9,0,0,0,2,0.99,2,227,False,100.0,378,82.0,,30.0,214,0.12,0.37,0.1,1,1.8,1596,100.0,32,-2,49,0.74,298,2.44,0,63.6,1.8,17.1,0.36,0.04,0.8,0.32,0,0.9,62485,243,a,800,0.87,171,32,4,0,0,,36,G.Jesus,303,229588,True,28,2024-08-25T11:00:05.312580Z,0,37,459,37,0.74,0.0,0,,38,26.6,0,0.9,15,33,1,0.8,1.3,0,,2
3,Gabriel dos Santos Magalhães,6.2,DEF,Arsenal,60,1,0,3,-2,2.26,13,216,True,75.0,46,215.0,Muscle injury - 75% chance of playing,30.0,13,0.5,0.33,0.6,4,3.6,147809,75.0,14,2,4,1.08,85,12.5,0,68.2,3.6,59.7,0.19,0.04,4.6,0.15,0,23.4,2875705,1088,d,30891,1.76,58,66,1,0,0,,210,Gabriel,76,1878410,True,55,2024-11-27T10:30:06.325759Z,2,5,31,14,1.08,0.0,0,,17,313.4,4,1.03,3,2,0,3.8,9.7,0,,13
4,Kai Havertz,7.9,FWD,Arsenal,59,2,0,5,1,6.91,15,112,False,100.0,73,437.0,,80.0,37,1.16,0.29,0.4,4,4.2,24251,100.0,7,-1,14,1.09,29,13.85,0,160.0,4.2,87.8,0.5,0.08,4.2,0.42,0,10.1,2155551,1243,a,20437,5.75,11,13,2,0,0,3.0,208,Havertz,88,2617721,True,9,2024-11-07T09:00:07.112803Z,1,10,37,12,1.01,0.0,0,,18,280.8,7,1.0,5,4,5,3.2,7.5,0,,14
5,Karl Hein,4.0,GKP,Arsenal,0,0,0,0,0,0.0,0,491,False,0.0,511,0.0,Loaned to Real Valladolid,,558,0.0,0.0,0.0,0,0.0,45,0.0,58,0,58,0.0,513,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,455,638,0,0,0,,0,Hein,425,3963,False,37,2024-08-14T08:31:46.556082Z,0,68,514,58,0.0,0.0,0,,51,0.0,0,0.0,63,27,0,0.0,0.0,0,,0
6,Jurriën Timber,5.6,DEF,Arsenal,47,1,0,1,-1,1.13,10,101,False,100.0,170,139.0,,152.0,67,0.46,0.35,1.0,4,6.8,9269,100.0,33,1,14,0.87,128,10.05,0,168.8,6.8,48.3,0.1,0.04,3.6,0.06,0,5.8,761453,1040,a,81739,0.67,103,104,3,0,0,,167,J.Timber,16,260304,True,21,2024-10-04T13:30:05.569185Z,1,23,70,67,1.04,0.0,0,,5,178.0,2,0.87,11,9,2,5.8,8.4,0,,12
7,Jorge Luiz Frello Filho,4.7,MID,Arsenal,9,0,0,0,3,0.33,4,272,False,,374,3.0,,106.0,336,0.29,0.25,0.3,1,2.2,517,,178,-3,165,0.99,358,2.92,0,45.6,2.2,7.6,0.08,0.07,1.3,0.01,0,0.2,22852,363,a,745,0.04,378,323,3,0,0,,54,Jorginho,230,37991,True,167,,0,111,346,175,1.24,0.0,0,,114,27.2,0,0.72,211,202,2,1.2,1.9,0,,5
8,Jakub Kiwior,4.8,DEF,Arsenal,13,0,0,0,2,0.03,5,346,False,,338,0.0,,172.0,370,0.03,0.28,0.5,1,3.5,449,,124,-2,97,1.39,376,4.45,0,13.7,3.5,6.3,0.01,0.01,1.6,0.0,0,0.2,13747,323,a,2334,0.0,639,315,0,0,0,,39,Kiwior,124,19566,True,112,,0,132,305,117,0.56,0.0,0,,29,49.2,0,1.24,38,228,2,2.5,2.7,0,,2
9,Gabriel Martinelli Silva,6.8,MID,Arsenal,50,2,0,3,2,4.04,9,92,False,100.0,134,304.0,,30.0,115,1.86,0.46,0.1,4,1.8,15755,100.0,35,-2,31,1.04,57,8.78,0,177.4,1.8,69.1,0.47,0.22,3.8,0.25,0,2.7,629385,778,a,5769,2.18,35,35,1,0,0,,159,Martinelli,304,689500,True,70,2024-10-18T16:00:06.884775Z,1,34,64,48,1.04,0.0,0,,156,210.0,4,1.02,18,20,0,0.8,7.4,0,,9
12,Ethan Nwaneri,4.5,MID,Arsenal,13,0,0,1,0,0.34,0,303,False,,335,41.0,,241.0,269,0.19,0.0,0.4,0,3.0,2272,,159,0,137,0.0,323,0.71,0,29.2,3.0,12.3,0.4,0.22,1.6,0.18,0,0.4,68910,76,a,2403,0.15,250,427,0,0,0,,49,Nwaneri,162,48398,True,178,,0,86,299,159,0.0,0.0,0,,78,52.6,0,0.84,259,140,1,2.0,2.9,0,,0
13,Martin Ødegaard,8.3,MID,Arsenal,33,2,0,1,2,3.72,5,35,False,100.0,180,133.0,,161.0,65,1.95,0.54,0.6,4,5.8,22219,100.0,51,-2,20,0.68,83,5.66,0,297.8,5.8,59.9,0.5,0.26,4.1,0.24,0,6.1,485189,664,a,24342,1.77,114,11,1,0,0,2.0,153,Ødegaard,38,1424986,True,29,2024-09-10T00:30:06.311550Z,0,20,47,71,1.08,0.0,0,3.0,19,167.0,3,0.77,8,74,2,4.8,4.0,0,1.0,8
15,David Raya Martin,5.6,GKP,Arsenal,58,0,0,0,-1,0.01,15,686,False,100.0,30,0.0,,200.0,5,0.01,0.33,0.7,5,5.0,23564,100.0,11,1,7,1.0,191,14.18,40,0.0,5.0,34.8,0.0,0.0,3.9,0.0,0,29.9,2057089,1350,a,63854,0.0,684,100,2,-1,0,,212,Raya,62,1694849,True,72,2024-09-25T21:30:06.211210Z,1,1,58,10,1.0,2.67,1,,5,347.2,6,0.95,1,72,2,4.0,10.4,0,,15
16,Declan Rice,6.2,MID,Arsenal,30,2,0,0,3,3.3,15,20,False,100.0,130,114.0,,241.0,119,2.36,0.25,0.5,3,3.8,4042,100.0,37,-3,90,1.23,59,11.15,0,362.7,3.8,68.7,0.27,0.19,2.3,0.08,0,2.6,160191,1102,a,5662,0.94,129,62,3,0,1,,190,Rice,110,556703,True,17,2024-11-07T09:00:07.142642Z,0,35,208,45,1.06,0.0,0,2.0,59,215.2,2,0.91,40,83,2,2.8,4.8,0,2.0,13
17,Bukayo Saka,10.5,MID,Arsenal,103,11,0,5,-5,8.88,12,1,True,100.0,6,563.0,,241.0,3,5.04,0.39,0.9,5,10.0,46699,100.0,3,5,3,0.94,3,9.69,0,580.6,10.0,163.6,0.69,0.39,7.4,0.3,0,42.9,4872157,1155,a,109150,3.84,4,4,3,0,0,1.0,409,Saka,3,3576525,True,1,2024-11-10T23:00:07.191683Z,4,3,3,4,1.09,0.0,0,1.0,3,493.4,16,0.76,3,2,2,9.0,9.8,0,,14
18,William Saliba,6.2,DEF,Arsenal,55,0,0,2,-2,2.5,13,276,False,100.0,61,83.0,,73.0,9,0.62,0.38,1.3,5,9.0,9220,100.0,38,2,9,0.98,147,11.54,0,43.6,9.0,42.1,0.19,0.05,3.9,0.14,0,27.3,1489135,1199,a,240219,1.88,170,71,2,-1,1,,228,Saliba,6,2793527,True,78,2024-10-19T19:30:06.564445Z,2,2,60,20,1.05,0.0,1,,1,292.2,5,0.87,4,34,9,8.0,8.9,0,,14
20,Thomas Partey,5.0,MID,Arsenal,47,1,0,2,0,2.12,13,111,False,100.0,76,94.0,,81.0,213,0.93,0.3,0.8,4,5.0,2701,100.0,63,0,37,0.98,105,12.43,0,162.2,5.0,53.0,0.16,0.07,3.4,0.09,0,0.9,249349,1197,a,2753,1.19,152,196,2,0,0,,245,Thomas,61,210035,True,81,2024-11-30T22:00:07.258906Z,0,65,80,27,0.98,0.0,0,,30,270.8,5,0.93,121,95,2,4.0,9.4,0,,13
21,Kieran Tierney,4.3,DEF,Arsenal,0,0,0,0,2,0.0,0,542,False,100.0,554,0.0,,243.0,562,0.0,0.0,0.0,0,1.0,103,100.0,213,-2,211,0.0,556,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1443,0,a,221,0.0,514,546,0,0,0,,0,Tierney,486,4552,True,212,2024-08-12T14:30:04.394338Z,0,196,559,213,0.0,0.0,0,,198,0.0,0,0.0,126,202,0,0.0,0.0,0,,0
22,Tomiyasu Takehiro,4.8,DEF,Arsenal,1,0,0,0,2,0.18,0,437,False,0.0,466,9.0,Knee injury - Unknown return date,108.0,549,0.0,0.0,0.0,0,0.0,46,0.0,154,-2,143,0.0,446,0.04,0,0.3,0.0,1.0,2.7,0.0,1.0,2.7,0,0.0,1365,6,i,11,0.18,347,308,0,0,0,,2,Tomiyasu,615,7261,True,156,2024-10-18T16:00:06.930143Z,0,191,419,162,0.0,0.0,0,,224,0.4,0,0.6,36,118,0,0.0,0.2,0,,0
23,Leandro Trossard,6.8,MID,Arsenal,48,2,0,3,2,3.4,11,75,False,100.0,133,277.0,,21.0,151,0.9,0.32,0.6,3,5.2,7134,100.0,38,-2,46,1.18,60,6.8,0,200.0,5.2,68.7,0.37,0.1,3.2,0.27,0,1.8,359133,838,a,4200,2.5,39,31,0,0,1,4.0,176,Trossard,56,426241,True,59,2024-11-21T08:30:08.540890Z,1,45,103,47,1.07,0.0,0,4.0,28,211.8,5,0.73,16,24,1,4.2,7.1,0,,10
24,Benjamin White,6.1,DEF,Arsenal,27,1,0,0,4,0.45,7,250,False,0.0,227,29.0,Knee injury - Unknown return date,241.0,118,0.32,0.39,0.0,3,0.0,7957,0.0,87,-4,33,0.91,269,9.87,0,55.3,0.0,21.3,0.06,0.04,3.0,0.02,0,2.6,145086,694,i,102,0.13,283,74,2,0,0,,112,White,681,936110,True,67,2024-11-14T13:00:07.861117Z,0,49,123,86,0.91,0.0,0,,230,128.4,0,1.28,5,88,0,0.0,4.4,0,,7
25,Oleksandr Zinchenko,4.8,DEF,Arsenal,15,0,0,0,2,0.14,0,319,False,75.0,388,21.0,Knock - 75% chance of playing,225.0,204,0.08,0.77,0.4,2,2.1,2737,100.0,121,-2,50,0.0,371,1.73,0,23.2,2.8,6.7,0.05,0.03,2.5,0.02,0,1.0,87236,234,d,1097,0.06,298,301,1,0,0,,60,Zinchenko,184,290392,True,103,2024-12-09T09:30:06.099861Z,0,82,171,136,0.77,0.0,0,,55,22.2,0,0.67,34,95,0,1.8,3.1,0,,2
73,Norberto Murara Neto,4.2,GKP,Arsenal,7,0,0,0,3,0.0,2,529,False,100.0,291,0.0,,30.0,212,0.0,0.0,0.0,0,1.0,1536,100.0,28,-3,9,1.0,356,2.91,11,0.0,1.0,7.8,0.0,0.0,3.5,0.0,0,0.9,82477,180,a,249,0.0,499,570,0,0,0,,30,Neto,469,227084,True,46,2024-10-05T17:30:06.760449Z,0,29,74,28,1.0,5.5,0,,60,77.8,0,1.46,36,37,0,0.0,1.7,0,,2
186,Raheem Sterling,6.7,MID,Arsenal,9,1,0,0,3,0.6,1,287,False,100.0,380,54.0,,241.0,216,0.09,0.0,0.2,0,2.2,829,100.0,164,-3,155,0.62,331,1.39,0,37.8,2.2,11.3,0.38,0.06,1.5,0.32,0,0.9,46406,144,a,228,0.51,222,37,0,0,0,,24,Sterling,253,146705,True,172,2024-11-02T15:00:07.534992Z,0,67,330,177,1.25,0.0,0,,128,23.8,0,0.87,19,123,0,1.2,1.3,0,3.0,2
578,Riccardo Calafiori,5.8,DEF,Arsenal,20,0,0,1,2,0.98,8,271,False,75.0,212,111.0,Knock - 75% chance of playing,106.0,183,0.43,0.18,0.3,1,1.9,5588,75.0,68,-2,52,1.43,222,5.93,0,46.3,1.9,29.4,0.18,0.08,2.5,0.1,0,1.4,194248,505,d,273,0.55,134,90,1,0,0,,77,Calafiori,217,346189,True,75,2024-12-05T01:00:08.685840Z,1,75,182,82,1.07,0.0,0,,64,137.8,1,1.06,8,17,0,1.5,3.4,0,,6
597,Myles Lewis-Skelly,4.5,MID,Arsenal,1,0,0,0,0,0.0,2,431,False,100.0,448,2.0,,241.0,509,0.0,0.0,0.0,0,1.0,163,75.0,217,0,226,12.0,453,0.8,0,0.4,0.8,0.6,0.0,0.0,0.5,0.0,0,0.1,7707,15,a,36,0.0,390,426,1,0,0,,5,Lewis-Skelly,563,7549,True,222,2024-12-03T15:00:08.736469Z,0,195,469,214,0.0,0.0,0,,224,3.2,0,4.8,258,205,0,0.0,0.2,0,,0
633,Mikel Merino,6.0,MID,Arsenal,18,0,0,1,0,1.46,5,242,False,100.0,257,77.0,,200.0,489,0.33,0.22,0.2,1,2.2,497,100.0,127,0,98,1.12,259,3.91,0,58.3,2.2,23.7,0.32,0.07,2.2,0.25,0,0.1,19438,403,a,237,1.13,184,79,1,0,0,,68,Merino,252,15839,True,151,2024-11-30T22:00:08.239353Z,0,185,225,112,0.89,0.0,0,,127,104.2,1,0.87,51,111,1,1.2,3.0,0,,4
638,Salah-Eddine Oulad M'hand,4.5,MID,Arsenal,0,0,0,0,0,0.0,0,610,False,,614,0.0,,152.0,627,0.0,0.0,0.0,0,1.0,31,,263,0,265,0.0,616,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1854,0,a,22,0.0,594,425,0,0,0,,0,Oulad M'hand,562,1403,True,265,,0,276,620,261,0.0,0.0,0,,223,0.0,0,0.0,257,258,0,0.0,0.0,0,,0
639,Tommy Setford,4.5,GKP,Arsenal,0,0,0,0,0,0.0,0,628,False,,632,0.0,,241.0,541,0.0,0.0,0.0,0,1.0,100,,72,0,72,0.0,634,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2533,0,a,71,0.0,612,450,0,0,0,,0,Setford,584,2408,True,64,,0,67,638,72,0.0,0.0,0,,71,0.0,0,0.0,19,59,0,0.0,0.0,0,,0
657,Maldini Kacurri,4.0,DEF,Arsenal,0,0,0,0,0,0.0,0,519,False,,539,0.0,,2.0,494,0.0,0.0,0.0,0,1.0,214,,202,0,200,0.0,541,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.1,8735,0,a,193,0.0,486,671,0,0,0,,0,Kacurri,457,5420,True,200,,0,178,544,202,0.0,0.0,0,,177,0.0,0,0.0,212,188,0,0.0,0.0,0,,0
658,Ayden Heaven,4.0,DEF,Arsenal,0,0,0,0,0,0.0,0,523,False,,543,0.0,,241.0,514,0.0,0.0,0.0,0,1.0,156,,206,0,204,0.0,545,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5546,0,a,120,0.0,491,676,0,0,0,,0,Heaven,462,3716,True,204,,0,185,548,206,0.0,0.0,0,,182,0.0,0,0.0,217,193,0,0.0,0.0,0,,0
659,Ismeal Kabia,4.5,MID,Arsenal,0,0,0,0,0,0.0,0,636,False,,640,0.0,,152.0,624,0.0,0.0,0.0,0,1.0,57,,283,0,285,0.0,642,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1990,0,a,45,0.0,621,461,0,0,0,,0,Kabia,592,1336,True,285,,0,274,645,281,0.0,0.0,0,,247,0.0,0,0.0,286,279,0,0.0,0.0,0,,0
662,Josh Nichols,4.0,DEF,Arsenal,0,0,0,0,0,0.0,0,499,False,,519,0.0,,241.0,550,0.0,0.0,0.0,0,1.0,111,,184,0,181,0.0,521,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3062,0,a,124,0.0,464,648,0,0,0,,0,Nichols,434,1824,True,182,,0,192,523,184,0.0,0.0,0,,156,0.0,0,0.0,191,168,0,0.0,0.0,0,,0
665,Nathan Butler-Oyedeji,4.5,FWD,Arsenal,0,0,0,0,0,0.0,0,590,False,,595,0.0,,241.0,352,0.0,0.0,0.0,0,1.0,1256,,51,0,54,0.0,597,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2,39367,0,a,1183,0.0,572,397,0,0,0,,0,Butler-Oyedeji,542,21111,True,51,,0,56,601,51,0.0,0.0,0,,47,0.0,0,0.0,65,51,0,0.0,0.0,0,,0
28,Leon Bailey,6.2,MID,Aston Villa,27,2,0,0,3,2.91,12,119,False,25.0,313,138.0,Hamstring injury - 25% chance of playing,107.0,211,2.33,0.12,0.2,1,0.4,5239,100.0,100,-3,122,1.49,188,8.93,0,153.8,2.0,35.7,0.36,0.29,1.9,0.07,0,0.9,137048,727,d,351,0.58,107,64,2,0,0,,90,Bailey,218,405712,True,86,2024-12-09T09:30:06.119495Z,0,64,267,148,1.24,0.0,0,3.0,109,66.8,0,1.11,42,68,1,1.5,4.4,0,4.0,10
29,Ross Barkley,5.2,MID,Aston Villa,27,1,0,2,3,1.89,6,182,False,100.0,208,171.0,,241.0,317,0.36,0.2,0.6,1,3.0,775,100.0,93,-3,94,1.23,162,4.14,0,95.8,3.5,40.8,0.38,0.07,2.2,0.31,0,0.3,20768,440,a,420,1.53,84,160,3,0,0,,101,Barkley,96,76834,True,118,2024-11-01T16:30:07.356966Z,0,103,220,85,0.41,0.0,0,,51,142.0,2,0.85,96,51,1,3.0,5.2,0,,2
30,Enzo Barrenechea,4.9,MID,Aston Villa,0,0,0,0,1,0.0,0,658,False,0.0,664,0.0,Loaned to Valencia CF,,605,0.0,0.0,0.0,0,0.0,14,0.0,298,-1,298,0.0,664,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,872,0,u,0,0.0,654,284,0,0,0,,0,Barrenechea,636,5165,False,298,2024-08-31T06:33:47.934620Z,0,260,664,298,0.0,0.0,0,,280,0.0,0,0.0,185,296,0,0.0,0.0,0,,0
31,Emiliano Buendía Stati,5.2,MID,Aston Villa,6,0,0,0,3,0.11,0,328,False,,430,3.0,,10.0,463,0.02,0.0,0.1,0,0.5,180,,199,-3,220,0.0,412,1.11,0,19.2,1.0,2.9,0.27,0.05,0.9,0.22,0,0.1,5611,37,a,47,0.09,379,164,1,0,0,,24,Buendia,333,13665,True,185,,0,171,447,205,0.0,0.0,0,,166,7.0,0,2.7,100,203,0,0.5,1.2,0,3.0,0
32,Matty Cash,4.4,DEF,Aston Villa,21,0,0,1,1,0.23,8,286,False,100.0,215,32.0,,172.0,171,0.18,0.14,0.5,1,2.0,6969,100.0,88,-1,60,1.11,272,8.14,0,38.7,2.5,20.6,0.03,0.02,2.3,0.01,0,1.5,132313,650,a,2798,0.05,265,485,3,0,0,,82,Cash,159,290651,True,83,2024-11-04T00:00:07.281139Z,0,69,204,83,1.11,0.0,0,,45,135.4,0,1.13,95,81,0,2.0,4.8,0,,8
33,Leander Dendoncker,4.5,MID,Aston Villa,0,0,0,0,0,0.0,0,575,False,0.0,580,0.0,On loan to Anderlecht for the rest of the season,,340,0.0,0.0,0.0,0,0.0,391,0.0,239,0,241,0.0,582,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,18187,0,u,0,0.0,556,364,0,0,0,,0,Dendoncker,526,88378,False,241,2024-09-02T10:45:36.198316Z,0,113,586,237,0.0,0.0,0,,198,0.0,0,0.0,227,233,0,0.0,0.0,0,,0
34,Moussa Diaby,6.5,MID,Aston Villa,0,0,0,0,0,0.0,0,691,False,0.0,691,0.0,Permanent transfer to Al Ittihad,,613,0.0,0.0,0.0,0,0.0,4,0.0,315,0,315,0.0,691,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,691,46,0,0,0,,0,Diaby,687,3315,False,315,2024-07-26T08:50:40.300928Z,0,264,690,315,0.0,0.0,0,,313,0.0,0,0.0,26,315,0,0.0,0.0,0,,0
35,Diego Carlos Santos Silva,4.5,DEF,Aston Villa,19,0,0,0,0,0.7,11,377,False,100.0,256,52.0,,30.0,263,0.06,0.28,0.4,2,1.8,855,100.0,98,0,54,1.53,303,8.97,0,7.4,2.3,16.5,0.1,0.01,2.4,0.09,0,0.5,43611,648,a,2161,0.64,225,366,1,0,0,,58,Diego Carlos,180,65833,True,124,2024-09-25T21:30:06.256588Z,0,97,185,97,0.83,0.0,0,,52,104.4,1,1.25,59,66,7,1.8,4.2,0,,6
36,Lucas Digne,4.7,DEF,Aston Villa,42,3,0,0,-2,2.84,18,26,False,,89,73.0,,73.0,39,2.3,0.17,0.3,2,1.2,47399,,9,2,38,1.51,63,13.78,0,344.8,1.7,67.7,0.24,0.19,2.8,0.05,0,9.9,1486386,1073,a,9449,0.54,191,325,3,0,0,,190,Digne,231,713249,True,4,,2,13,141,31,1.09,0.0,0,2.0,70,258.0,6,1.16,40,44,1,1.2,8.9,0,2.0,13
37,Lewis Dobbin,5.0,MID,Aston Villa,0,0,0,0,0,0.0,0,669,False,0.0,673,0.0,Permanent transfer to West Bromwich Albion,,685,0.0,0.0,0.0,0,0.0,0,0.0,304,0,304,0.0,673,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,666,220,0,0,0,,0,Dobbin,650,269,False,304,2024-08-07T08:21:33.016106Z,0,310,673,304,0.0,0.0,0,,291,0.0,0,0.0,140,302,0,0.0,0.0,0,,0
38,Jhon Durán,5.8,FWD,Aston Villa,41,0,0,5,2,4.21,10,237,False,,138,246.0,,48.0,114,0.21,0.0,0.4,0,2.5,6583,,20,-2,22,2.22,113,7.19,0,60.1,3.0,51.4,0.94,0.05,2.7,0.89,0,2.7,981586,405,a,11840,4.0,48,91,2,0,0,,172,Duran,135,812624,True,29,,0,18,155,17,0.22,0.0,0,,23,206.6,8,1.6,27,19,8,2.5,7.1,0,,1
39,Joe Gauci,4.0,GKP,Aston Villa,0,0,0,0,0,0.0,0,490,False,,510,0.0,,13.0,227,0.0,0.0,0.0,0,0.0,876,,57,0,57,0.0,512,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.8,59816,0,a,229,0.0,454,637,0,0,0,,0,Gauci,424,46985,True,36,,0,32,513,57,0.0,0.0,0,,50,0.0,0,0.0,62,26,0,0.0,0.0,0,,0
40,Kortney Hause,4.0,DEF,Aston Villa,0,0,0,0,0,0.0,0,461,False,,483,0.0,,241.0,252,0.0,0.0,0.0,0,0.0,754,,167,0,165,0.0,485,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.5,34906,0,a,272,0.0,424,601,0,0,0,,0,Hause,394,47129,True,165,,0,92,488,167,0.0,0.0,0,,136,0.0,0,0.0,165,149,0,0.0,0.0,0,,0
41,Samuel Iling-Junior,5.4,MID,Aston Villa,0,0,0,0,1,0.0,0,683,False,0.0,684,0.0,Season long loan to Bologna,,597,0.0,0.0,0.0,0,0.0,11,0.0,311,-1,311,0.0,684,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,342,0,u,0,0.0,681,141,0,0,0,,0,Iling Jr,675,6615,False,311,2024-08-29T11:07:04.555253Z,0,255,683,311,0.0,0.0,0,,305,0.0,0,0.0,84,309,0,0.0,0.0,0,,0
42,Boubacar Kamara,5.0,MID,Aston Villa,9,0,0,0,0,0.06,6,327,False,100.0,359,2.0,,73.0,603,0.06,0.36,0.4,1,1.8,148,100.0,185,0,149,2.13,380,2.95,0,20.3,2.3,6.1,0.02,0.02,1.5,0.0,0,0.0,2588,253,a,217,0.0,399,207,1,0,0,,44,Kamara,191,1716,True,184,2024-11-11T16:00:06.089849Z,0,259,323,166,1.07,0.0,0,,92,37.6,0,1.05,130,213,3,1.8,1.8,0,,3
43,Kaine Kesler-Hayden,4.0,DEF,Aston Villa,0,0,0,0,0,0.0,0,493,False,0.0,513,0.0,Has joined Preston North End for the rest of the season,,639,0.0,0.0,0.0,0,0.0,15,0.0,181,0,177,0.0,515,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,457,640,0,0,0,,0,Kesler-Hayden,427,1526,False,179,2024-08-09T11:14:21.895838Z,0,216,516,181,0.0,0.0,0,,152,0.0,0,0.0,186,164,0,0.0,0.0,0,,0
44,Ezri Konsa Ngoyo,4.4,DEF,Aston Villa,31,0,0,1,1,0.7,20,238,False,100.0,135,59.0,,241.0,50,0.35,0.08,0.6,1,2.8,7740,100.0,61,-1,53,1.65,203,14.26,0,59.7,3.3,32.8,0.06,0.03,2.4,0.03,0,8.0,880685,1091,a,16188,0.35,214,486,0,0,0,,151,Konsa,101,1300612,True,62,2024-11-21T08:30:08.587167Z,2,16,184,54,1.07,0.0,0,,21,208.8,3,1.18,96,58,8,2.8,7.0,0,,13
45,Ian Maatsen,4.6,DEF,Aston Villa,11,0,0,0,4,0.95,5,142,False,100.0,316,54.0,,152.0,175,0.87,0.0,0.1,0,0.5,2467,100.0,81,-4,147,1.6,251,4.01,0,129.5,1.0,24.9,0.31,0.28,0.9,0.03,0,1.4,70544,281,a,892,0.08,221,350,1,0,0,,41,Maatsen,324,294293,True,28,2024-11-14T10:00:07.838636Z,0,71,443,109,0.64,0.0,0,,102,65.0,0,1.28,50,64,1,0.5,2.4,0,,2
46,Filip Marschall,4.0,GKP,Aston Villa,0,0,0,0,0,0.0,0,489,False,0.0,509,0.0,Has joined MK Dons for the rest of the season,,690,0.0,0.0,0.0,0,0.0,1,0.0,56,0,56,0.0,511,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,453,636,0,0,0,,0,Marschall,423,65,False,35,2024-07-18T09:50:40.812599Z,0,71,512,56,0.0,0.0,0,,49,0.0,0,0.0,61,25,0,0.0,0.0,0,,0
47,Emiliano Martínez Romero,5.0,GKP,Aston Villa,43,0,1,0,0,0.01,22,662,False,100.0,45,0.0,,10.0,30,0.01,0.14,0.6,2,2.8,17004,100.0,13,0,22,1.52,209,16.88,34,0.0,3.3,31.6,0.0,0.0,2.9,0.0,0,12.2,913419,1305,a,18729,0.0,659,192,1,0,0,,163,Martinez,106,1047020,True,69,2024-12-02T00:00:07.797146Z,1,4,129,13,1.03,2.34,0,,9,315.8,2,1.16,8,67,6,2.8,8.6,0,,15
48,John McGinn,5.2,MID,Aston Villa,27,1,0,0,3,3.07,15,83,False,100.0,312,133.0,,243.0,228,1.25,0.3,0.6,3,3.0,1824,100.0,96,-3,104,1.52,169,11.21,0,191.6,3.5,39.3,0.31,0.13,2.1,0.18,0,0.8,67685,886,a,1260,1.82,113,162,2,0,0,,113,McGinn,97,212962,True,65,2024-09-21T20:30:05.276348Z,0,72,235,147,1.12,0.0,0,,52,66.8,0,1.14,98,73,3,3.0,5.2,0,,11
