id,name,now_cost,position,team,total_points,assists,penalties_saved,goals_scored,cost_change_start_fall,expected_goal_involvements,goals_conceded,creativity_rank,in_dreamteam,chance_of_playing_next_round,influence_rank,threat,news,region,selected_rank,expected_assists,clean_sheets_per_90,value_form,clean_sheets,ep_next,transfers_out_event,chance_of_playing_this_round,ict_index_rank_type,cost_change_start,points_per_game_rank_type,goals_conceded_per_90,ict_index_rank,expected_goals_conceded,saves,creativity,ep_this,ict_index,expected_goal_involvements_per_90,expected_assists_per_90,points_per_game,expected_goals_per_90,penalties_missed,selected_by_percent,transfers_in,minutes,status,transfers_in_event,expected_goals,threat_rank,now_cost_rank,yellow_cards,cost_change_event_fall,red_cards,penalties_order,bps,web_name,form_rank,transfers_out,can_select,creativity_rank_type,news_added,dreamteam_count,selected_rank_type,points_per_game_rank,influence_rank_type,starts_per_90,saves_per_90,cost_change_event,corners_and_indirect_freekicks_order,form_rank_type,influence,bonus,expected_goals_conceded_per_90,now_cost_rank_type,threat_rank_type,event_points,form,value_season,own_goals,direct_freekicks_order,starts
692,Amara Nallo,4.0,DEF,Liverpool,0,0,0,0,0,0.0,0,525,False,,545,0.0,,241.0,678,0.0,0.0,0.0,0,1.0,17,,208,0,206,0.0,547,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,141,0,a,60,0.0,493,678,0,0,0,,0,Nallo,464,28,True,206,,0,228,550,208,0.0,0.0,0,,184,0.0,0,0.0,219,195,0,0.0,0.0,0,,0
340,Manuel Akanji,5.3,DEF,Man City,23,0,0,0,2,1.24,15,97,False,50.0,163,43.0,Knock - 50% chance of playing,207.0,106,0.89,0.18,0.0,2,0.5,19747,50.0,47,-2,84,1.34,167,15.86,0,172.1,0.5,40.0,0.11,0.08,1.9,0.03,0,3.1,358957,1006,d,91,0.35,245,152,3,1,0,,141,Akanji,667,564401,True,20,2024-12-05T00:30:08.316605Z,0,43,265,65,1.07,0.0,-1,,229,183.8,0,1.42,17,72,0,0.0,4.3,0,,12
341,Nathan Aké,5.3,DEF,Man City,9,0,0,0,2,0.19,6,347,False,0.0,348,11.0,Hamstring injury - Unknown return date,152.0,218,0.08,0.3,0.3,1,0.0,3723,0.0,122,-2,87,1.81,372,7.98,0,13.5,0.0,6.7,0.05,0.02,1.8,0.03,0,0.9,44106,298,i,65,0.11,334,147,0,0,0,,39,Aké,195,234962,True,113,2024-12-05T00:30:08.334401Z,0,84,279,122,0.91,0.0,0,,57,42.4,0,2.41,16,112,0,1.8,1.7,0,,3
342,Bernardo Veiga de Carvalho e Silva,6.3,MID,Man City,49,4,0,1,2,5.24,20,8,False,,86,367.0,,173.0,98,2.86,0.23,0.6,3,5.0,10396,,9,-2,42,1.51,12,19.18,0,459.6,5.0,108.7,0.4,0.22,3.3,0.18,0,3.7,773733,1194,a,6841,2.38,24,51,4,0,0,,264,Bernardo,64,927674,True,7,,0,30,92,29,0.98,0.0,0,4.0,32,261.6,5,1.45,29,12,5,4.0,7.8,0,,13
343,Oscar Bobb,4.7,MID,Man City,0,0,0,0,3,0.0,0,645,False,0.0,649,0.0,Leg injury - Unknown return date,161.0,502,0.0,0.0,0.0,0,0.0,95,0.0,289,-3,291,0.0,650,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,2557,0,i,44,0.0,633,338,0,0,0,,0,Bobb,606,28933,True,291,2024-08-14T22:30:05.558994Z,0,191,653,288,0.0,0.0,0,,258,0.0,0,0.0,220,286,0,0.0,0.0,0,,0
344,Scott Carson,4.0,GKP,Man City,0,0,0,0,0,0.0,0,454,False,,476,0.0,,241.0,366,0.0,0.0,0.0,0,1.0,267,,38,0,38,0.0,478,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2,12611,0,a,153,0.0,415,588,0,0,0,,0,Carson,385,13409,True,15,,0,53,481,38,0.0,0.0,0,,30,0.0,0,0.0,41,5,0,0.0,0.0,0,,0
345,Kevin De Bruyne,9.5,MID,Man City,36,2,0,2,0,5.26,8,17,False,100.0,164,168.0,,21.0,69,3.21,0.32,0.4,2,5.2,45299,100.0,30,0,24,1.29,47,7.14,0,389.9,5.2,73.8,0.85,0.52,4.0,0.33,0,5.5,923895,557,a,13371,2.05,87,6,2,-1,0,4.0,167,De Bruyne,58,1298539,True,14,2024-09-18T23:00:07.299083Z,2,21,52,61,0.97,0.0,1,1.0,29,182.2,5,1.15,5,54,2,4.2,3.8,0,1.0,6
346,Jérémy Doku,6.2,MID,Man City,37,2,0,2,3,2.0,7,88,False,100.0,157,202.0,,21.0,143,1.33,0.34,0.6,2,4.8,10738,100.0,55,-3,39,1.18,91,6.24,0,187.0,4.8,57.9,0.33,0.22,3.4,0.11,0,1.9,404489,536,a,4553,0.67,63,69,0,0,0,,177,Doku,77,597882,True,68,2024-11-13T14:30:08.065449Z,0,43,82,58,1.01,0.0,0,,40,188.8,2,1.05,45,38,1,3.8,6.0,0,,6
347,Ederson Santana de Moraes,5.4,GKP,Man City,33,1,0,0,1,0.01,17,368,False,,83,0.0,,30.0,63,0.01,0.17,0.0,2,1.2,31734,,14,-1,24,1.42,234,15.83,28,10.0,1.2,27.2,0.0,0.0,2.8,0.0,0,6.6,557137,1080,a,1110,0.0,678,129,3,0,0,,123,Ederson M.,373,738695,True,8,,0,12,144,14,1.0,2.33,0,,26,263.0,2,1.32,3,71,0,0.2,6.1,0,,12
348,Phil Foden,9.1,MID,Man City,19,1,0,0,4,4.21,11,38,False,75.0,297,128.0,Illness - 75% chance of playing,241.0,91,2.83,0.14,0.1,1,1.4,14274,0.0,69,-4,124,1.58,119,13.66,0,295.9,0.0,49.8,0.61,0.41,1.9,0.2,0,4.0,696117,628,d,155,1.38,119,7,1,0,0,,108,Foden,306,2058954,True,31,2024-12-05T00:30:08.366700Z,0,27,269,137,0.86,0.0,0,3.0,157,73.0,0,1.96,6,78,0,0.8,2.1,0,,6
