AwayTeam,goals_scored_away,shots_away,shots_on_target_away
Chelsea,23,131,54
Liverpool,22,131,50
Arsenal,17,92,33
Tottenham,16,135,53
Bournemouth,16,136,44
Wolves,15,104,39
Newcastle,15,117,37
Brighton,14,117,44
Nott'm Forest,13,108,40
Man City,13,137,48
Fulham,12,115,38
Leicester,11,83,31
Crystal Palace,11,128,46
Aston Villa,11,92,26
West Ham,10,141,36
Ipswich,10,65,26
Man United,8,111,42
Everton,6,95,30
Brentford,6,62,24
Southampton,4,87,20
