id,name,now_cost,position,team,selected_by_percent,goals_scored,yellow_cards,saves_per_90,direct_freekicks_order,transfers_in,penalties_missed,chance_of_playing_next_round,cost_change_start_fall,cost_change_event_fall,points_per_game_rank_type,penalties_saved,influence,threat,expected_goal_involvements,starts_per_90,selected_rank,ep_next,dreamteam_count,creativity,can_select,cost_change_start,value_form,now_cost_rank,form_rank_type,expected_assists,cost_change_event,in_dreamteam,expected_goals_per_90,creativity_rank,red_cards,points_per_game_rank,chance_of_playing_this_round,starts,clean_sheets,selected_rank_type,expected_goals_conceded,expected_assists_per_90,bonus,threat_rank_type,threat_rank,form,transfers_out,ict_index,creativity_rank_type,clean_sheets_per_90,total_points,expected_goal_involvements_per_90,transfers_out_event,ict_index_rank,now_cost_rank_type,expected_goals,ict_index_rank_type,form_rank,influence_rank,ep_this,own_goals,region,value_season,saves,team_join_date,transfers_in_event,status,minutes,bps,event_points,points_per_game,penalties_order,news_added,goals_conceded_per_90,influence_rank_type,expected_goals_conceded_per_90,news,corners_and_indirect_freekicks_order,goals_conceded,web_name,assists
73,Norberto Murara Neto,4.1,GKP,Arsenal,0.8,0,0,5.5,,86123,0,100.0,4,0,13,0,77.8,0.0,0.0,1.0,227,0.0,0,0.0,True,-4,0.0,593,62,0.0,0,False,0.0,552,0,77,100.0,2,0,32,2.91,0.0,0,37,522,0.0,242526,7.8,49,0.0,7,0.0,1564,386,41,0.0,31,495,333,0.5,0,30.0,1.7,11,2024-08-30,798,a,180,30,0,3.5,,2024-10-05T17:30:06.760449Z,1.0,30,1.46,,,2,Neto,0
186,Raheem Sterling,6.7,MID,Arsenal,0.8,0,0,0.0,3.0,47193,0,100.0,3,0,160,0,23.8,54.0,0.6,1.25,221,0.0,0,37.8,True,-3,0.0,37,321,0.09,0,False,0.32,307,0,344,0.0,2,0,67,1.39,0.06,0,142,257,0.0,154069,11.3,179,0.0,9,0.38,837,361,18,0.51,176,712,402,0.0,0,241.0,1.3,0,2024-08-30,165,a,144,24,0,1.5,,2024-12-21T21:30:08.006504Z,0.62,186,0.87,,,1,Sterling,1
578,Riccardo Calafiori,5.8,DEF,Arsenal,1.3,1,3,0.0,,214358,0,100.0,2,0,63,0,196.0,123.0,1.12,1.02,187,1.2,1,80.1,True,-2,0.2,90,79,0.55,0,False,0.07,242,0,206,100.0,8,1,73,7.8,0.07,1,23,155,1.2,374599,39.9,63,0.13,26,0.14,3390,219,8,0.57,67,250,207,1.7,0,106.0,4.5,0,2024-07-29,2978,a,704,104,1,2.4,,2024-12-05T01:00:08.685840Z,1.28,79,1.0,,,10,Calafiori,1
597,Myles Lewis-Skelly,4.5,MID,Arsenal,0.1,0,1,0.0,,21511,0,100.0,0,0,150,0,37.4,6.0,0.12,1.12,414,1.6,0,51.7,True,0,0.4,421,93,0.12,0,False,0.0,288,0,332,100.0,3,2,146,2.58,0.04,0,206,389,1.6,12882,9.5,175,0.74,9,0.04,1533,374,258,0.0,183,202,386,2.1,0,241.0,2.0,0,2022-12-04,2043,a,242,50,0,1.5,,2024-12-03T15:00:08.736469Z,1.12,177,0.96,,,3,Lewis-Skelly,0
633,Mikel Merino,6.0,MID,Arsenal,0.1,2,2,0.0,,23390,0,100.0,0,0,69,0,187.0,196.0,2.72,0.95,468,3.4,0,117.0,True,0,0.6,75,37,0.66,0,False,0.28,193,0,164,100.0,7,2,172,5.99,0.09,2,64,98,3.4,19591,49.8,122,0.27,35,0.37,710,176,49,2.06,97,77,218,3.9,0,200.0,5.8,0,2024-08-27,1175,a,660,141,4,2.7,,2024-11-30T22:00:08.239353Z,0.95,92,0.82,,,7,Merino,1
638,Salah-Eddine Oulad M'hand,4.5,MID,Arsenal,0.0,0,0,0.0,,2097,0,,0,0,270,0,0.0,0.0,0.0,0.0,637,0.0,0,0.0,True,0,0.0,420,231,0.0,0,False,0.0,632,0,643,,0,0,274,0.0,0.0,0,262,616,0.0,1720,0.0,268,0.0,0,0.0,59,636,257,0.0,266,584,637,0.5,0,152.0,0.0,0,2021-10-25,58,a,0,0,0,0.0,,,0.0,267,0.0,,,0,Oulad M'hand,0
639,Tommy Setford,4.5,GKP,Arsenal,0.0,0,0,0.0,,3362,0,,0,0,74,0,0.0,0.0,0.0,0.0,529,0.0,0,0.0,True,0,0.0,450,72,0.0,0,False,0.0,654,0,665,,0,0,67,0.0,0.0,0,62,639,0.0,3391,0.0,68,0.0,0,0.0,183,659,19,0.0,74,610,660,0.5,0,241.0,0.0,0,2024-07-24,133,a,0,0,0,0.0,,,0.0,74,0.0,,,0,Setford,0
657,Maldini Kacurri,4.0,DEF,Arsenal,0.1,0,0,0.0,,10194,0,,0,0,214,0,0.0,0.0,0.0,0.0,485,0.0,0,0.0,True,0,0.0,677,193,0.0,0,False,0.0,539,0,565,,0,0,175,0.0,0.0,0,202,507,0.0,7419,0.0,212,0.0,0,0.0,300,558,214,0.0,214,482,559,0.5,0,2.0,0.0,0,2024-09-14,242,a,0,0,0,0.0,,,0.0,214,0.0,,,0,Kacurri,0
658,Ayden Heaven,4.0,DEF,Arsenal,0.0,0,0,0.0,,6417,0,,0,0,219,0,0.0,0.0,0.0,0.0,524,0.0,0,0.0,True,0,0.0,683,198,0.0,0,False,0.0,544,0,570,,0,0,188,0.0,0.0,0,208,513,0.0,5089,0.0,217,0.0,0,0.0,201,563,220,0.0,219,487,564,0.5,0,241.0,0.0,0,2024-02-20,142,a,0,0,0,0.0,,,0.0,219,0.0,,,0,Heaven,0
659,Ismeal Kabia,4.5,MID,Arsenal,0.0,0,0,0.0,,2346,0,,0,0,293,0,0.0,0.0,0.0,0.0,631,0.0,0,0.0,True,0,0.0,461,259,0.0,0,False,0.0,662,0,672,,0,0,268,0.0,0.0,0,286,647,0.0,1784,0.0,291,0.0,0,0.0,56,667,290,0.0,290,619,668,0.5,0,152.0,0.0,0,2024-09-14,77,a,0,0,0,0.0,,,0.0,291,0.0,,,0,Kabia,0
662,Josh Nichols,4.0,DEF,Arsenal,0.0,0,0,0.0,,3832,0,,0,0,195,0,0.0,0.0,0.0,0.0,547,0.0,0,0.0,True,0,0.0,650,173,0.0,0,False,0.0,518,0,545,,0,0,194,0.0,0.0,0,180,484,0.0,2848,0.0,192,0.0,0,0.0,139,538,188,0.0,195,461,539,0.5,0,241.0,0.0,0,2024-07-24,121,a,0,0,0,0.0,,,0.0,195,0.0,,,0,Nichols,0
665,Nathan Butler-Oyedeji,4.5,FWD,Arsenal,0.2,0,0,0.0,,48416,0,,0,0,55,0,0.0,0.0,0.0,0.0,353,0.0,0,0.0,True,0,0.0,391,46,0.0,0,False,0.0,611,0,623,,0,0,57,0.0,0.0,0,52,593,0.0,33131,0.0,52,0.0,0,0.0,1480,616,65,0.0,52,562,617,0.5,0,241.0,0.0,0,2024-09-18,1397,a,0,0,0,0.0,,,0.0,52,0.0,,,0,Butler-Oyedeji,0
28,Leon Bailey,6.2,MID,Aston Villa,0.9,1,2,0.0,4.0,154191,0,100.0,3,0,94,0,125.6,230.0,3.96,1.18,218,2.4,0,195.3,True,-3,0.4,62,62,2.7,0,False,0.12,119,0,218,100.0,12,1,65,10.24,0.27,2,48,77,2.4,429671,54.9,83,0.1,39,0.39,2845,150,38,1.26,89,141,277,2.4,0,107.0,6.3,0,2021-08-04,4616,a,914,145,9,2.3,,2024-12-09T09:30:06.119495Z,1.48,122,1.01,,3.0,15,Bailey,2
29,Ross Barkley,5.2,MID,Aston Villa,0.3,3,3,0.0,,25860,0,25.0,3,0,82,0,203.4,185.0,2.09,0.5,311,0.7,1,115.5,True,-3,0.5,155,55,0.41,0,False,0.28,196,0,190,100.0,3,1,97,5.36,0.07,5,72,110,2.6,83620,50.3,125,0.17,40,0.35,977,175,92,1.68,96,126,201,2.6,0,241.0,7.7,0,2024-07-01,2593,d,544,150,10,2.5,,2025-01-11T01:30:08.379812Z,1.49,84,0.89,Calf injury - 25% chance of playing,,9,Barkley,1
30,Enzo Barrenechea,4.9,MID,Aston Villa,0.0,0,0,0.0,,872,0,0.0,1,0,306,0,0.0,0.0,0.0,0.0,616,0.0,0,0.0,False,-1,0.0,278,288,0.0,0,False,0.0,686,0,692,0.0,0,0,262,0.0,0.0,0,303,680,0.0,5251,0.0,305,0.0,0,0.0,14,691,182,0.0,306,664,691,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-31T06:33:47.934620Z,0.0,306,0.0,Loaned to Valencia CF,,0,Barrenechea,0
31,Emiliano Buendía Stati,5.1,MID,Aston Villa,0.1,0,1,0.0,3.0,6300,0,,4,0,226,0,16.2,15.0,0.65,0.0,473,0.6,0,22.1,True,-4,0.1,176,162,0.02,0,False,0.91,353,0,472,,0,0,174,1.68,0.03,0,183,346,0.6,14970,5.0,193,0.0,9,0.94,181,422,109,0.63,201,319,429,0.6,0,10.0,1.8,0,2021-06-10,123,a,62,31,1,0.9,,,2.9,198,2.44,,,2,Buendia,0
32,Matty Cash,4.4,DEF,Aston Villa,1.2,1,5,0.0,,158449,0,100.0,1,0,83,0,185.4,88.0,0.97,1.09,197,1.0,0,81.9,True,-1,0.2,485,83,0.75,0,False,0.02,238,0,256,100.0,12,1,77,13.85,0.07,1,48,198,1.0,353366,35.5,62,0.09,26,0.09,3521,238,88,0.22,72,259,220,1.0,0,172.0,5.9,0,2020-09-03,3873,a,988,90,3,2.0,,2024-12-27T00:30:09.083461Z,1.28,84,1.26,,,14,Cash,0
33,Leander Dendoncker,4.5,MID,Aston Villa,0.2,0,0,0.0,,18187,0,0.0,0,0,247,0,0.0,0.0,0.0,0.0,350,0.0,0,0.0,False,0,0.0,363,207,0.0,0,False,0.0,596,0,608,0.0,0,0,114,0.0,0.0,0,239,578,0.0,91669,0.0,245,0.0,0,0.0,301,601,228,0.0,243,546,602,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-09-02T10:45:36.198316Z,0.0,244,0.0,On loan to Anderlecht for the rest of the season,,0,Dendoncker,0
34,Moussa Diaby,6.5,MID,Aston Villa,0.0,0,0,0.0,,0,0,0.0,0,0,322,0,0.0,0.0,0.0,0.0,627,0.0,0,0.0,False,0,0.0,42,319,0.0,0,False,0.0,716,0,716,0.0,0,0,266,0.0,0.0,0,322,716,0.0,3365,0.0,322,0.0,0,0.0,8,716,23,0.0,322,710,716,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-07-26T08:50:40.300928Z,0.0,322,0.0,Permanent transfer to Al Ittihad,,0,Diaby,0
35,Diego Carlos Santos Silva,4.5,DEF,Aston Villa,0.4,0,1,0.0,,50891,0,50.0,0,0,74,0,150.6,54.0,0.72,0.87,279,0.2,0,9.2,True,0,0.1,365,114,0.08,0,False,0.07,405,0,237,0.0,8,2,106,11.88,0.01,1,77,256,0.4,83534,21.5,136,0.22,21,0.08,3640,310,59,0.64,102,342,248,0.0,0,30.0,4.7,0,2022-06-10,41,d,828,69,0,2.1,,2025-01-03T19:30:08.711012Z,1.63,93,1.29,Foot injury - 50% chance of playing,,15,Diego Carlos,0
36,Lucas Digne,4.6,DEF,Aston Villa,7.3,0,3,0.0,2.0,1584694,0,,-1,0,54,0,318.2,96.0,3.49,1.08,53,1.6,2,427.1,True,1,0.3,344,67,2.88,0,False,0.04,31,0,184,,18,2,16,20.35,0.17,6,44,190,1.6,1099251,84.2,5,0.12,50,0.21,39487,72,48,0.61,10,203,104,1.6,0,73.0,10.9,0,2022-01-13,8688,a,1500,222,2,2.5,,,1.56,38,1.22,,2.0,26,Digne,3
37,Lewis Dobbin,5.0,MID,Aston Villa,0.0,0,0,0.0,,0,0,0.0,0,0,312,0,0.0,0.0,0.0,0.0,706,0.0,0,0.0,False,0,0.0,217,300,0.0,0,False,0.0,696,0,700,0.0,0,0,315,0.0,0.0,0,309,691,0.0,280,0.0,311,0.0,0,0.0,0,699,137,0.0,312,678,699,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-07T08:21:33.016106Z,0.0,312,0.0,Permanent transfer to West Bromwich Albion,,0,Dobbin,0
38,Jhon Durán,5.8,FWD,Aston Villa,2.8,7,3,0.0,,1324687,0,100.0,2,0,21,0,273.4,325.0,5.24,0.61,113,2.0,0,66.8,True,-2,0.3,91,24,0.22,0,False,0.77,260,1,153,0.0,4,2,18,9.07,0.03,9,20,49,2.0,1145714,66.4,30,0.31,51,0.8,18589,116,25,5.02,21,181,137,0.0,0,48.0,8.8,0,2023-01-23,16439,a,588,219,0,2.8,,2024-12-27T00:30:09.111478Z,1.99,18,1.39,,,13,Duran,0
39,Joe Gauci,4.0,GKP,Aston Villa,0.7,0,0,0.0,,62460,0,,0,0,60,0,0.0,0.0,0.0,0.0,234,0.0,0,0.0,True,0,0.0,639,54,0.0,0,False,0.0,509,0,535,,0,0,33,0.0,0.0,0,28,474,0.0,57694,0.0,41,0.0,0,0.0,1618,529,58,0.0,60,451,530,0.0,0,13.0,0.0,0,2024-02-01,287,a,0,0,0,0.0,,,0.0,60,0.0,,,0,Gauci,0
40,Kortney Hause,3.9,DEF,Aston Villa,0.6,0,0,0.0,,48792,0,,1,0,174,0,0.0,0.0,0.0,0.0,251,0.0,0,0.0,True,-1,0.0,695,144,0.0,0,False,0.0,467,0,501,,0,0,93,0.0,0.0,0,153,428,0.0,57670,0.0,170,0.0,0,0.0,1519,493,229,0.0,173,407,494,0.0,0,241.0,0.0,0,2019-07-01,2028,a,0,0,0,0.0,,,0.0,173,0.0,,,0,Hause,0
41,Samuel Iling-Junior,5.4,MID,Aston Villa,0.0,0,0,0.0,,342,0,0.0,1,0,318,0,0.0,0.0,0.0,0.0,605,0.0,0,0.0,False,-1,0.0,135,311,0.0,0,False,0.0,707,0,709,0.0,0,0,255,0.0,0.0,0,316,706,0.0,6683,0.0,317,0.0,0,0.0,8,709,80,0.0,318,696,709,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-29T11:07:04.555253Z,0.0,318,0.0,Season long loan to Bologna,,0,Iling Jr,0
42,Boubacar Kamara,5.0,MID,Aston Villa,0.0,0,1,0.0,,4777,0,100.0,0,0,141,0,112.2,9.0,0.31,1.07,563,2.0,0,84.1,True,0,0.4,206,81,0.21,0,False,0.01,236,0,313,100.0,8,1,225,9.25,0.03,0,196,369,2.0,3307,20.6,148,0.13,19,0.04,337,315,129,0.1,157,175,290,2.0,0,73.0,3.8,0,2022-06-11,317,a,673,109,2,1.7,,2024-11-11T16:00:06.089849Z,1.74,132,1.24,,,13,Kamara,0
