HomeTeam,goals_conceded_home,shots_conceded_home,shots_on_target_conceded_home
Arsenal,6,67,18
Liverpool,6,93,26
Bournemouth,7,101,31
Nott'm Forest,7,107,33
Everton,8,99,32
Newcastle,8,114,35
Aston Villa,10,84,30
Chelsea,11,108,43
Brighton,12,86,31
Fulham,13,95,31
Man City,13,69,31
Man United,14,100,35
Crystal Palace,15,113,37
Leicester,15,149,52
Brentford,16,127,41
Ipswich,16,126,46
Tottenham,17,109,45
West Ham,17,142,45
Wolves,20,121,51
Southampton,22,177,68
