name,total_points
Mohamed Salah,238
Cole Palmer,173
Chris Wood,154
Alexander Isak,152
Bryan Mbeumo,149
Erling Haaland,149
Justin Kluivert,123
Matheus Santos Carneiro Da Cunha,123
Ollie Watkins,116
Nicolas Jackson,108
Ola Aina,108
Bukayo Saka,107
Alex Iwobi,107
Trent Alexander-Arnold,107
Amad Diallo,107
